arise	arose	arisen
awake	awoke	awoken
be	was/were	been
bear	bore	born/borne
beat	beat	beaten/beat
become	became	become
begin	began	begun
bend	bent	bent
bet	bet/betted	bet/betted
bid	bid/bade	bid/bidden
bind	bound	bound
bite	bit	bitten
bleed	bled	bled
blow	blew	blown
break	broke	broken
breed	bred	bred
bring	brought	brought
build	built	built
burn	burned/burnt	burned/burnt
burst	burst	burst
buy	bought	bought
cast	cast	cast
catch	caught	caught
choose	chose	chosen
cling	clung	clung
come	came	come
cost	cost	cost
creep	crept	crept
cut	cut	cut
deal	dealt	dealt
dig	dug	dug
do	did	done
draw	drew	drawn
dream	dreamed/dreamt	dreamed/dreamt
drink	drank	drunk
drive	drove	driven
dwell	dwelt/dwelled	dwelt/dwelled
eat	ate	eaten
fall	fell	fallen
feed	fed	fed
feel	felt	felt
fight	fought	fought
find	found	found
fit	fitted/fit	fitted/fit
flee	fled	fled
fling	flung	flung
fly	flew	flown
forbid	forbade	forbidden
forget	forgot	forgotten/forgot
forgive	forgave	forgiven
freeze	froze	frozen
get	got	gotten/got
give	gave	given
go	went	gone
grind	ground	ground
grow	grew	grown
hang	hung	hung
have	had	had
hear	heard	heard
hide	hid	hidden/hid
hit	hit	hit
hold	held	held
hurt	hurt	hurt
input	input/inputted	input/inputted
keep	kept	kept
kneel	knelt/kneeled	knelt/kneeled
knit	knitted/knit	knitted/knit
know	knew	known
lay	laid	laid
lead	led	led
lean	leaned/leant	leaned/leant
leap	leaped/leapt	leaped/leapt
learn	learned/learnt	learned/learnt
leave	left	left
lend	lent	lent
let	let	let
lie	lay	lain
lie	lied	lied
light	lit/lighted	lit/lighted
lose	lost	lost
make	made	made
mean	meant	meant
meet	met	met
mistake	mistook	mistaken
mow	mowed	mowed/mown
pay	paid	paid
plead	pleaded/pled	pleaded/pled
prove	proved	proven/proved
put	put	put
quit	quit/quitted	quit/quitted
read	read	read
rid	rid	rid
ride	rode	ridden
ring	rang	rung
rise	rose	risen
run	ran	run
saw	sawed	sawed/sawn
say	said	said
see	saw	seen
seek	sought	sought
sell	sold	sold
send	sent	sent
set	set	set
shake	shook	shaken
shave	shaved	shaved/shaven
shed	shed	shed
shine	shined/shone	shined/shone
shit	shit/shat/shitted	shit/ shat/shitted
shoot	shot	shot
show	showed	shown/showed
shrink	shrank/shrunk	shrunk
shut	shut	shut
sing	sang	sung
sink	sank/sunk	sunk
sit	sat	sat
sleep	slept	slept
slide	slid	slid
sling	slung	slung
slit	slit	slit
smell	smelled/smelt	smelled/smelt
sneak	sneaked/snuck	sneaked/snuck
sow	sowed	sown/sowed
speak	spoke	spoken
speed	sped/speeded	sped/speeded
spell	spelled/spelt	spelled/spelt
spend	spent	spent
spill	spilled/spilt	spilled/spilt
spin	spun	spun
spit	spit/spat	spit/spat
split	split	split
spoil	spoiled/spoilt	spoiled/spoilt
spread	spread	spread
spring	sprang/sprung	sprung
stand	stood	stood
steal	stole	stolen
stick	stuck	stuck
sting	stung	stung
stink	stunk/stank	stunk
stride	strode	stridden
strike	struck	struck/stricken
string	strung	strung
strive	strove/strived	striven/strived
swear	swore	sworn
sweat	sweat/sweated	sweat/sweated
sweep	swept	swept
swell	swelled	swollen/swelled
swim	swam	swum
swing	swung	swung
take	took	taken
teach	taught	taught
tear	tore	torn
tell	told	told
think	thought	thought
throw	threw	thrown
thrust	thrust	thrust
tread	trod	trodden/trod
understand	understood	understood
upset	upset	upset
wake	woke/waked	woken/waked
wear	wore	worn
weave	wove/weaved	woven/weaved
weep	wept	wept
win	won	won
wind	wound	wound
withdraw	withdrew	withdrawn
wring	wrung	wrung
write	wrote	written
